Open,Close,High,Low,Volume,Date
1.40154,1.40351,1.41123,1.39997,,02/14/22
1.40139,1.40139,1.40139,1.40139,,02/13/22
1.40117,1.40141,1.40145,1.40117,,02/12/22
1.39606,1.40154,1.40667,1.39159,,02/11/22
1.39315,1.39567,1.39899,1.3795,,02/10/22
1.39938,1.39295,1.40036,1.38985,,02/09/22
1.4039,1.39899,1.40706,1.39899,,02/08/22
1.41283,1.40331,1.41563,1.40233,,02/07/22
1.41421,1.41421,1.41421,1.41421,,02/06/22
1.41421,1.41421,1.41421,1.41421,,02/05/22
1.40076,1.41283,1.41824,1.39821,,02/04/22
1.40154,1.40115,1.40647,1.39509,,02/03/22
1.40252,1.40174,1.40489,1.39684,,02/02/22
1.41543,1.40233,1.42187,1.40154,,02/01/22
1.43021,1.41423,1.43021,1.41323,,01/31/22
1.43068,1.42912,1.43133,1.42904,,01/30/22
1.43068,1.43068,1.43068,1.43068,,01/29/22
1.42146,1.43021,1.43513,1.41904,,01/28/22
1.40548,1.42187,1.42389,1.4039,,01/27/22
1.39723,1.40509,1.40924,1.39237,,01/26/22
1.39919,1.39762,1.4043,1.39412,,01/25/22
1.39295,1.39997,1.41044,1.39121,,01/24/22
1.39276,1.39276,1.39276,1.39276,,01/23/22
1.39276,1.39276,1.39276,1.39276,,01/22/22
1.38351,1.39295,1.39451,1.38351,,01/21/22
1.38677,1.3837,1.38735,1.37419,,01/20/22
1.39179,1.38677,1.39334,1.38141,,01/19/22
1.38735,1.39179,1.39489,1.38351,,01/18/22
1.38735,1.38658,1.38985,1.38313,,01/17/22
1.38827,1.38579,1.38827,1.38312,,01/16/22
1.38827,1.38827,1.38827,1.38827,,01/15/22
1.37382,1.38735,1.38927,1.37099,,01/14/22
1.37287,1.37382,1.37495,1.36705,,01/13/22
1.38716,1.37287,1.38889,1.37118,,01/12/22
1.39373,1.38677,1.39782,1.38581,,01/11/22
1.39295,1.39392,1.3988,1.38831,,01/10/22
1.39239,1.3927,1.39441,1.39239,,01/09/22
1.39285,1.39239,1.39285,1.39239,,01/08/22
1.39587,1.39295,1.40252,1.39101,,01/07/22
1.38485,1.39626,1.39938,1.38427,,01/06/22
1.3816,1.38543,1.386,1.37495,,01/05/22
1.39121,1.38179,1.39198,1.37931,,01/04/22
1.37608,1.39082,1.39218,1.374,,01/03/22
1.37552,1.37607,1.37705,1.37552,,01/02/22
1.37552,1.37552,1.37552,1.37552,,01/01/22
1.37969,1.37608,1.38045,1.37476,,12/31/21
1.37912,1.38007,1.38064,1.37438,,12/30/21
1.38389,1.37969,1.38639,1.37495,,12/29/21
1.38198,1.38351,1.38639,1.37646,,12/28/21
1.38466,1.38255,1.38793,1.38007,,12/27/21
1.38426,1.38374,1.38429,1.38337,,12/26/21
1.38408,1.38426,1.38426,1.38408,,12/25/21
1.38217,1.38466,1.38543,1.38007,,12/24/21
1.38735,1.38045,1.38966,1.37874,,12/23/21
1.39821,1.38735,1.40449,1.38485,,12/22/21
1.40746,1.39841,1.40865,1.39684,,12/21/21
1.40331,1.40627,1.41203,1.40272,,12/20/21
1.40341,1.40227,1.40341,1.39927,,12/19/21
1.40341,1.40341,1.40341,1.40341,,12/18/21
1.39256,1.40331,1.4041,1.39218,,12/17/21
1.39509,1.39237,1.39958,1.38408,,12/16/21
1.40786,1.39509,1.41004,1.39315,,12/15/21
1.40193,1.40786,1.41044,1.40135,,12/14/21
1.39451,1.40193,1.40647,1.39334,,12/13/21
1.39402,1.39402,1.39402,1.39402,,12/12/21
1.39425,1.39402,1.39441,1.39402,,12/11/21
1.39997,1.39451,1.40213,1.39218,,12/10/21
1.39567,1.39938,1.40154,1.39121,,12/09/21
1.40509,1.39489,1.40548,1.39218,,12/08/21
1.41844,1.40509,1.42066,1.40371,,12/07/21
1.42878,1.41804,1.42878,1.41683,,12/06/21
1.42729,1.42818,1.42945,1.42643,,12/05/21
1.4279,1.42709,1.42847,1.42709,,12/04/21
1.41044,1.42878,1.43021,1.40964,,12/03/21
1.40746,1.41004,1.41163,1.40449,,12/02/21
1.40331,1.40746,1.40964,1.39392,,12/01/21
1.40036,1.40292,1.41563,1.39451,,11/30/21
1.4039,1.40076,1.40568,1.39665,,11/29/21
1.4038,1.404,1.40542,1.39925,,11/28/21
1.4038,1.4038,1.4038,1.4038,,11/27/21
1.39121,1.4039,1.40607,1.39063,,11/26/21
1.38985,1.39159,1.39295,1.38696,,11/25/21
1.38408,1.38985,1.39218,1.38332,,11/24/21
1.38408,1.38447,1.38773,1.38179,,11/23/21
1.38217,1.38389,1.38504,1.37514,,11/22/21
1.38168,1.38274,1.38322,1.38017,,11/21/21
1.38168,1.38168,1.38168,1.38168,,11/20/21
1.37382,1.38217,1.38351,1.37137,,11/19/21
1.37646,1.374,1.3795,1.37099,,11/18/21
1.36986,1.37627,1.37779,1.36893,,11/17/21
1.36166,1.3693,1.37137,1.35704,,11/16/21
1.36426,1.36147,1.36575,1.35667,,11/15/21
1.36387,1.36431,1.36562,1.36387,,11/14/21
1.36387,1.36387,1.36387,1.36387,,11/13/21
1.37137,1.36426,1.37438,1.36314,,11/12/21
1.36482,1.37118,1.37231,1.36203,,11/11/21
1.35538,1.36426,1.36556,1.35245,,11/10/21
1.34735,1.3552,1.35851,1.34553,,11/09/21
1.35172,1.34698,1.35428,1.34553,,11/08/21
1.35145,1.35159,1.3528,1.34958,,11/07/21
1.35145,1.35145,1.35145,1.35145,,11/06/21
1.35135,1.35172,1.3587,1.34898,,11/05/21
1.3412,1.35026,1.35465,1.33869,,11/04/21
1.3459,1.34066,1.34916,1.34012,,11/03/21
1.32979,1.34608,1.34789,1.32767,,11/02/21
1.32943,1.3289,1.33583,1.32696,,11/01/21
1.33036,1.33016,1.33168,1.32977,,10/31/21
1.33036,1.33036,1.33036,1.33036,,10/30/21
1.32573,1.32943,1.33333,1.32345,,10/29/21
1.32979,1.32573,1.33654,1.32328,,10/28/21
1.3328,1.33014,1.33565,1.32679,,10/27/21
1.33511,1.33316,1.33618,1.3289,,10/26/21
1.33976,1.33511,1.33976,1.33227,,10/25/21
1.33975,1.33937,1.33975,1.33887,,10/24/21
1.33975,1.33975,1.33975,1.33975,,10/23/21
1.33923,1.33976,1.34174,1.33103,,10/22/21
1.33067,1.33905,1.34084,1.32503,,10/21/21
1.33761,1.3305,1.33958,1.32908,,10/20/21
1.3488,1.33815,1.35007,1.33565,,10/19/21
1.34735,1.34898,1.35538,1.34662,,10/18/21
1.34821,1.34755,1.34896,1.34715,,10/17/21
1.34735,1.34821,1.34821,1.34735,,10/16/21
1.34862,1.34735,1.3508,1.34409,,10/15/21
1.35483,1.34844,1.35648,1.34644,,10/14/21
1.36017,1.3552,1.36556,1.35446,,10/13/21
1.36054,1.36054,1.36388,1.3541,,10/12/21
1.36818,1.36073,1.37005,1.35612,,10/11/21
1.36808,1.36859,1.36924,1.36793,,10/10/21
1.36808,1.36808,1.36808,1.36808,,10/09/21
1.36724,1.36818,1.37212,1.36277,,10/08/21
1.37514,1.3678,1.37552,1.36519,,10/07/21
1.37155,1.37533,1.38389,1.3708,,10/06/21
1.37174,1.37212,1.3795,1.36949,,10/05/21
1.37798,1.37212,1.37912,1.36911,,10/04/21
1.3777,1.37652,1.37779,1.3761,,10/03/21
1.37798,1.3777,1.37798,1.3777,,10/02/21
1.38313,1.37798,1.39043,1.37419,,10/01/21
1.39295,1.38389,1.39392,1.37779,,09/30/21
1.38102,1.39334,1.3947,1.37665,,09/29/21
1.37268,1.38083,1.38389,1.36761,,09/28/21
1.37703,1.3725,1.3795,1.3708,,09/27/21
1.37722,1.37698,1.38021,1.37607,,09/26/21
1.37722,1.37722,1.37722,1.37722,,09/25/21
1.37024,1.37703,1.38217,1.36668,,09/24/21
1.38102,1.37061,1.38466,1.36687,,09/23/21
1.38236,1.3816,1.38427,1.37061,,09/22/21
1.37836,1.38313,1.38485,1.37287,,09/21/21
1.37344,1.37893,1.38504,1.37344,,09/20/21
1.37361,1.3766,1.37692,1.37361,,09/19/21
