Open,Close,High,Low,Volume,Date
189,189.5,189,189,,02/11/22
189,188.15,189,189,,02/10/22
189,187.75,189,188,,02/09/22
186,186.1,187,185.5,,02/08/22
182,182.5,183.5,178,,02/07/22
179.5,183,183,179.5,,02/04/22
180,177.45,180,177.5,,02/03/22
178,177.3,178,175.5,,02/02/22
174,174.5,174,170,,02/01/22
178,178.25,178,173,,01/31/22
166,182.5,166.5,166,,01/28/22
0,165.95,0,0,,01/27/22
165.75,165.95,165.75,165.75,,01/26/22
165.5,164.6,165.5,164.5,,01/25/22
165,163.25,165.4,164.5,,01/24/22
160,162.05,165,160,,01/21/22
161,159.5,161,159,,01/20/22
161.25,161.75,161.25,161.25,,01/19/22
162.5,162.3,165,162,,01/18/22
155,156,158,155,,01/17/22
152,154,159,152,,01/14/22
143,148.9,148.9,143,,01/13/22
138,139,138,138,,01/12/22
140.05,136,140.05,136,,01/11/22
142.95,138.55,143,142.95,,01/10/22
147,140.2,147,139,,01/07/22
142.5,143.5,142.5,142.5,,01/06/22
134.65,137.3,136,134.5,,01/05/22
128,130.1,130,126,,01/04/22
120,120,120,120,,01/03/22
0,117.4,0,0,,12/31/21
140,138,140,140,,12/30/21
138.5,138.35,140,138.5,,12/29/21
0,135.6,0,0,,12/28/21
0,140.7,0,0,,12/27/21
0,142,0,0,,12/24/21
144,142.75,144,142,,12/23/21
148,146.95,148,147,,12/22/21
0,147,0,0,,12/21/21
149.5,146,149.5,149,,12/20/21
148,146,148,148,,12/17/21
144,147.9,146.5,144,,12/16/21
140.5,141.7,141.5,140.5,,12/15/21
140,140.55,140.25,140,,12/14/21
136.5,136.5,137.5,136.5,,12/13/21
134.5,134.9,134.5,134.5,,12/10/21
0,134.9,0,0,,12/09/21
132.5,134.55,133.5,132.5,,12/08/21
0,129.1,0,0,,12/07/21
120.75,122.2,122.5,120.75,,12/06/21
124.5,121.5,124.5,121,,12/03/21
120,124.25,125,120,,12/02/21
112,123.1,123,112,,12/01/21
118,111.1,118,110,,11/30/21
131.5,127,131.5,123,,11/29/21
0,144,0,0,,11/26/21
150,148,150,150,,11/25/21
151,149.6,151,149,,11/24/21
147.5,150,150,147.5,,11/23/21
145,146.5,146.5,144,,11/22/21
144,145.25,144,144,,11/19/21
141,144.75,144,141,,11/18/21
144,142.95,144,144,,11/17/21
140,141.5,141.5,140,,11/16/21
0,138.65,0,0,,11/15/21
140.5,139,140.5,140,,11/12/21
0,142,0,0,,11/11/21
143,142.1,143,141,,11/10/21
156,152,156,155,,11/09/21
152.5,157.5,159,152,,11/08/21
145.5,148.25,145.5,145.5,,11/05/21
148,148,150,147,,11/04/21
147,149.5,152,147,,11/03/21
138.25,139.75,140.25,137,,11/02/21
140,136,140,139,,11/01/21
0,143,0,0,,10/29/21
0,233,0,0,,10/28/21
0,232.85,0,0,,10/27/21
236,234,236,234,,10/26/21
235,237.15,235,235,,10/25/21
0,231.25,0,0,,10/22/21
0,228.5,0,0,,10/21/21
233,232.6,233,233,,10/20/21
235,234.5,235,233,,10/19/21
240,238.65,240,235,,10/18/21
242.5,240.05,242.5,240,,10/15/21
242,243.65,243,242,,10/14/21
247,244.95,247,246,,10/13/21
245,243.15,245,243,,10/12/21
242,241.5,242,240,,10/11/21
240,230,240,230,,10/08/21
220,232.65,235,220,,10/07/21
280,237.1,280,230,,10/06/21
261,274.5,267,261,,10/05/21
246,247.75,246,246,,10/04/21
222,233.05,234,222,,10/01/21
212,218.65,219,212,,09/30/21
207,208.5,210,206.5,,09/29/21
206.05,202.3,210,201,,09/28/21
200,201.75,202,200,,09/27/21
0,187.75,0,0,,09/24/21
0,172.85,0,0,,09/23/21
0,172,0,0,,09/22/21
171.25,171.4,171.25,171.25,,09/21/21
0,171.05,0,0,,09/20/21
168.5,168.6,168.5,168.5,,09/17/21
167.5,166.9,167.5,167.5,,09/16/21
172.5,169.5,172.5,170.25,,09/15/21
171.5,171,171.5,171.5,,09/14/21
173.4,171.7,173.4,172,,09/13/21
0,170.85,0,0,,09/10/21
0,169.7,0,0,,09/09/21
168.15,169,169,168.15,,09/08/21
167.75,168.2,168.85,167.5,,09/07/21
169,168,169,168.2,,09/06/21
164,165.15,165.5,164,,09/03/21
158,162.2,163.25,158,,09/02/21
160,156.25,160,157,,09/01/21
150,153.75,154,150,,08/31/21
0,148.95,0,0,,08/27/21
0,149,0,0,,08/26/21
148.5,148.9,149,148.5,,08/25/21
148.5,148.5,149,148.35,,08/24/21
148.3,148.35,148.75,148.3,,08/23/21
0,144.5,0,0,,08/20/21
0,145.9,0,0,,08/19/21
150,149.95,150,150,,08/18/21
151.1,149.9,151.1,151.1,,08/17/21
152.15,151.85,152.15,152.15,,08/16/21
149.65,149.7,149.65,149.65,,08/13/21
0,150,0,0,,08/12/21
0,147.6,0,0,,08/11/21
145.5,146,146.25,145.5,,08/10/21
146,145.75,146,146,,08/09/21
0,143.9,0,0,,08/06/21
141.75,142.15,142,141.75,,08/05/21
140.75,141.1,141,140.75,,08/04/21
141,140.05,141,140,,08/03/21
0,139.7,0,0,,08/02/21
0,138.4,0,0,,07/30/21
0,132.9,0,0,,07/29/21
0,132.9,0,0,,07/28/21
0,132.6,0,0,,07/27/21
0,132.1,0,0,,07/26/21
0,132.3,0,0,,07/23/21
0,131.9,0,0,,07/22/21
0,132.6,0,0,,07/21/21
0,132.1,0,0,,07/20/21
133.5,133.1,133.5,133.35,,07/19/21
133,132.6,133,132.5,,07/16/21
0,132,0,0,,07/15/21
0,131.75,0,0,,07/14/21
128,131.1,128,128,,07/13/21
0,126.65,0,0,,07/12/21
0,126.8,0,0,,07/09/21
125,125.5,125.75,124.9,,07/08/21
124.25,124.65,124.25,124.25,,07/07/21
0,123.8,0,0,,07/06/21
0,127.25,0,0,,07/05/21
122,123.6,122.75,122,,07/02/21
124,122.25,124,123.75,,07/01/21
115,120.75,121,115,,06/30/21
113,115.05,115.65,112.9,,06/29/21
113.25,113.15,113.25,113.25,,06/28/21
0,115.5,0,0,,06/25/21
0,108.25,0,0,,06/24/21
0,108,0,0,,06/23/21
0,107.25,0,0,,06/22/21
0,107,0,0,,06/21/21
0,107.75,0,0,,06/18/21
0,107.8,0,0,,06/17/21
108,108,108,108,,06/16/21
108.5,108,108.5,108.5,,06/15/21
109,109,109,109,,06/14/21
0,110,0,0,,06/11/21
109,110,109,109,,06/10/21
106.25,108.25,108,106.25,,06/09/21
0,105.75,0,0,,06/08/21
104.5,106,106.1,104.5,,06/07/21
100.65,101.25,101.5,100.65,,06/04/21
97.75,100.5,101,97.75,,06/03/21
95.5,96.4,96.5,95.5,,06/02/21
96,95.8,96.5,95.85,,06/01/21
0,85.75,0,0,,05/28/21
0,85.75,0,0,,05/27/21
0,85.65,0,0,,05/26/21
0,85.75,0,0,,05/25/21
0,85.5,0,0,,05/24/21
0,85.2,0,0,,05/21/21
84.5,84.75,84.5,84.5,,05/20/21
0,84,0,0,,05/19/21
84.5,84.6,84.5,84.5,,05/18/21
0,84.5,0,0,,05/17/21
85,85.4,85,84.9,,05/14/21
85.25,85.7,85.25,85.25,,05/13/21
0,85.85,0,0,,05/12/21
84,84.8,84,84,,05/11/21
84.45,83.8,84.45,83.75,,05/10/21
81.3,82.5,81.3,81.3,,05/07/21
0,81.55,0,0,,05/06/21
78.6,80.05,79.25,78.6,,05/05/21
78.5,78.5,78.6,78.4,,05/04/21
78.75,78.65,78.75,78.7,,05/03/21
0,77.45,0,0,,04/30/21
0,71.9,0,0,,04/29/21
0,71.75,0,0,,04/28/21
73.9,71.85,73.9,73.9,,04/27/21
0,71.7,0,0,,04/26/21
0,71.8,0,0,,04/23/21
72,71.8,72,72,,04/22/21
0,71.5,0,0,,04/21/21
0,71.5,0,0,,04/20/21
0,71.5,0,0,,04/19/21
71,71.6,71,71,,04/16/21
70,70.2,70,70,,04/15/21
0,69.15,0,0,,04/14/21
0,68.85,0,0,,04/13/21
0,68.35,0,0,,04/12/21
67.5,67.55,67.5,67.5,,04/09/21
67.5,67.2,67.5,67.5,,04/08/21
0,68.8,0,0,,04/07/21
70.3,70.3,70.3,70.3,,04/06/21
0,70.2,0,0,,04/05/21
0,70.2,0,0,,04/01/21
69.95,70.05,70.1,69.75,,03/31/21
70.45,70,70.45,69.8,,03/30/21
0,70.6,0,0,,03/29/21
0,70.9,0,0,,03/26/21
0,68.5,0,0,,03/25/21
0,68.5,0,0,,03/24/21
0,68.5,0,0,,03/23/21
0,68.5,0,0,,03/22/21
68.5,68.45,68.5,68.5,,03/19/21
0,68.1,0,0,,03/18/21
66.5,67.55,66.5,66.5,,03/17/21
66.4,66.3,66.5,66.4,,03/16/21
66,66.35,66.35,66,,03/15/21
65.85,66.05,66,65.85,,03/12/21
65.8,65.8,65.8,65.8,,03/11/21
66,65.8,66.25,66,,03/10/21
65.4,66,66,65.4,,03/09/21
65.5,65.5,65.5,65.5,,03/08/21
65.5,65.25,65.5,65.25,,03/05/21
66,65.2,66,65.7,,03/04/21
65.9,65.7,66.15,65.9,,03/03/21
65.7,66.15,66.3,65.7,,03/02/21
65.95,65.4,65.95,65.5,,03/01/21
0,65.25,0,0,,02/26/21
65.85,65.8,65.85,65.85,,02/25/21
65,65.7,65.7,65,,02/24/21
0,65.9,0,0,,02/23/21
66,65.95,66,66,,02/22/21
66,65.95,66,66,,02/19/21
0,65.55,0,0,,02/18/21
65.25,65.35,65.35,65.25,,02/17/21
65.25,65.6,65.5,65.2,,02/16/21
66.25,65.3,66.25,65.2,,02/15/21
67.25,67,67.45,67.2,,02/12/21
67.5,67.35,67.8,66.9,,02/11/21
68.15,68,68.5,68,,02/10/21
68.1,68.6,68.65,68.1,,02/09/21
67,68.25,68.25,67,,02/08/21
65.5,66.45,66.5,65.5,,02/05/21
64,65,64.9,64,,02/04/21
63.6,63.75,63.8,63.3,,02/03/21
65.7,65.4,66.5,63.5,,02/02/21
68,65.6,68,65.25,,02/01/21
0,69.4,0,0,,01/29/21
67.6,67.8,67.8,67.6,,01/28/21
67.75,67.7,67.75,67.75,,01/27/21
67.45,67.65,67.6,67.45,,01/26/21
67.4,67.45,67.4,67.4,,01/25/21
0,67.5,0,0,,01/22/21
67.5,67.55,67.55,67.5,,01/21/21
67.6,67.5,67.6,67.4,,01/20/21
67.5,67.5,67.5,67.3,,01/19/21
68,67.25,68.1,67.9,,01/18/21
68.9,68.6,68.9,68.6,,01/15/21
69.5,69.9,69.95,69.4,,01/14/21
69.5,70.15,70.1,69.5,,01/13/21
69.1,70.5,70.5,68.95,,01/12/21
68.55,68.5,68.55,68.4,,01/11/21
67.75,68.5,68.5,67.35,,01/08/21
66.5,66.6,66.6,65.75,,01/07/21
65.75,64.25,65.75,64.2,,01/06/21
68.5,64.9,68.75,65.9,,01/05/21
69.75,69.3,70.25,69.75,,01/04/21
0,69,0,0,,12/31/20
0,66.1,0,0,,12/24/20
0,66.05,0,0,,12/23/20
0,66.1,0,0,,12/22/20
0,66.1,0,0,,12/21/20
65.65,66,66,65.65,,12/18/20
0,65.65,0,0,,12/17/20
0,65.6,0,0,,12/16/20
0,65.8,0,0,,12/15/20
65.45,65.4,65.45,65.4,,12/14/20
65,65,65,65,,12/11/20
63.6,64,64,63.5,,12/10/20
0,63.3,0,0,,12/09/20
51,51.05,51.3,51,,11/09/20
50.75,50.8,50.75,50.75,,11/06/20
50.85,51.4,51.25,50.85,,11/05/20
50.8,50.85,50.85,50.8,,11/04/20
50.9,51.05,51.25,50.9,,11/03/20
50.7,50.9,51,50.7,,11/02/20
0,51.8,0,0,,10/30/20
56.25,56.1,56.25,56.25,,10/29/20
0,56.5,0,0,,10/28/20
56.25,56.55,56.6,56.25,,10/27/20
0,56.7,0,0,,10/26/20
56.7,56.7,56.9,56.7,,10/23/20
0,56.75,0,0,,10/22/20
56.5,56.5,56.5,56.5,,10/21/20
57.1,57.1,57.1,57.1,,10/20/20
57.1,57.1,57.1,57.1,,10/19/20
56.95,57,56.95,56.95,,10/16/20
56.5,56.8,57.05,56.4,,10/15/20
56.8,56.6,56.8,56.8,,10/14/20
56.5,56.5,56.5,56.5,,10/13/20
57.3,56.85,57.3,56.75,,10/12/20
57.45,57.6,57.5,57.45,,10/09/20
57.6,57.7,57.6,57.6,,10/08/20
57.4,57.65,57.4,57.4,,10/07/20
0,57.7,0,0,,10/06/20
57.25,57.7,57.4,57.25,,10/05/20
56.8,56.4,56.8,56.4,,10/02/20
57.65,57.35,57.7,57.6,,10/01/20
56.75,57.2,57.1,56.75,,09/30/20
56.9,57.05,57.3,56.9,,09/29/20
