Open,Close,High,Low,Volume,Date
0,146.76,0,0,,02/14/22
0,150.87,0,0,,02/11/22
0,151.57,0,0,,02/10/22
0,147.64,0,0,,02/09/22
0,148.83,0,0,,02/08/22
0,150.11,0,0,,02/07/22
0,145.45,0,0,,02/04/22
0,145.95,0,0,,02/03/22
0,139.98,0,0,,02/02/22
0,138.79,0,0,,02/01/22
0,131.15,0,0,,01/31/22
0,130.81,0,0,,01/28/22
0,129.96,0,0,,01/27/22
0,129.4,0,0,,01/26/22
0,129.94,0,0,,01/25/22
0,128.74,0,0,,01/24/22
0,129.49,0,0,,01/21/22
0,129.09,0,0,,01/20/22
0,127.41,0,0,,01/19/22
0,127.48,0,0,,01/18/22
0,126.24,0,0,,01/14/22
0,127.84,0,0,,01/13/22
0,128.66,0,0,,01/12/22
0,126.75,0,0,,01/11/22
0,124.48,0,0,,01/10/22
0,126.21,0,0,,01/07/22
0,125.94,0,0,,01/06/22
0,124.14,0,0,,01/05/22
0,120.91,0,0,,01/04/22
0,120.4,0,0,,01/03/22
0,120.2,0,0,,12/31/21
0,112.24,0,0,,12/30/21
0,112.34,0,0,,12/29/21
0,112.29,0,0,,12/28/21
0,112.99,0,0,,12/27/21
0,112.54,0,0,,12/23/21
0,112.54,0,0,,12/22/21
0,113.64,0,0,,12/21/21
0,113.79,0,0,,12/20/21
0,111.64,0,0,,12/17/21
0,111.19,0,0,,12/16/21
0,109.22,0,0,,12/15/21
0,107.04,0,0,,12/14/21
0,108.51,0,0,,12/13/21
0,105,0,0,,12/10/21
0,106.49,0,0,,12/09/21
0,106.77,0,0,,12/08/21
0,108.04,0,0,,12/07/21
0,103.74,0,0,,12/06/21
0,101.49,0,0,,12/03/21
0,101.82,0,0,,12/02/21
0,103.17,0,0,,12/01/21
0,94.97,0,0,,11/30/21
0,94.71,0,0,,11/29/21
0,94.44,0,0,,11/26/21
0,94.33,0,0,,11/24/21
0,93.99,0,0,,11/23/21
0,93.39,0,0,,11/22/21
0,92.78,0,0,,11/19/21
0,92.01,0,0,,11/18/21
0,92.76,0,0,,11/17/21
0,92.01,0,0,,11/16/21
0,92.36,0,0,,11/15/21
0,93.4,0,0,,11/12/21
0,93.63,0,0,,11/11/21
0,92.19,0,0,,11/10/21
0,91.98,0,0,,11/09/21
0,94.36,0,0,,11/08/21
0,94.43,0,0,,11/05/21
0,97.17,0,0,,11/04/21
0,99.35,0,0,,11/03/21
0,99.4,0,0,,11/02/21
0,102.58,0,0,,11/01/21
0,105.18,0,0,,10/29/21
0,121.94,0,0,,10/28/21
0,122.36,0,0,,10/27/21
0,122.47,0,0,,10/26/21
0,122.06,0,0,,10/25/21
0,122.5,0,0,,10/22/21
0,122.89,0,0,,10/21/21
0,123.49,0,0,,10/20/21
0,123.3,0,0,,10/19/21
0,123.4,0,0,,10/18/21
0,123.19,0,0,,10/15/21
0,122.83,0,0,,10/14/21
0,122.29,0,0,,10/13/21
0,126.42,0,0,,10/12/21
0,130.24,0,0,,10/11/21
0,122.86,0,0,,10/08/21
0,118.1,0,0,,10/07/21
0,117.68,0,0,,10/06/21
0,117.85,0,0,,10/05/21
0,117.76,0,0,,10/04/21
0,115.76,0,0,,10/01/21
0,119.65,0,0,,09/30/21
0,119.7,0,0,,09/29/21
0,119.89,0,0,,09/28/21
0,120.23,0,0,,09/27/21
0,120.1,0,0,,09/24/21
0,120.45,0,0,,09/23/21
0,120.73,0,0,,09/22/21
0,119.01,0,0,,09/21/21
0,117.01,0,0,,09/20/21
0,123,0,0,,09/17/21
0,119.96,0,0,,09/16/21
0,124.16,0,0,,09/15/21
0,128.11,0,0,,09/14/21
0,129.66,0,0,,09/13/21
0,133.18,0,0,,09/10/21
0,133.82,0,0,,09/09/21
0,135.56,0,0,,09/08/21
0,138.99,0,0,,09/07/21
0,144.83,0,0,,09/03/21
0,140.54,0,0,,09/02/21
0,143.08,0,0,,09/01/21
0,159.25,0,0,,08/31/21
0,159.58,0,0,,08/30/21
0,159.68,0,0,,08/27/21
0,159.63,0,0,,08/26/21
0,159.92,0,0,,08/25/21
0,160.07,0,0,,08/24/21
0,159.4,0,0,,08/23/21
0,160.54,0,0,,08/20/21
0,160.38,0,0,,08/19/21
0,159.59,0,0,,08/18/21
0,167.34,0,0,,08/17/21
0,166.96,0,0,,08/16/21
0,167.95,0,0,,08/13/21
0,167.94,0,0,,08/12/21
0,169.06,0,0,,08/11/21
0,168.59,0,0,,08/10/21
0,173.52,0,0,,08/09/21
0,172.01,0,0,,08/06/21
0,171.91,0,0,,08/05/21
0,182.51,0,0,,08/04/21
0,181.01,0,0,,08/03/21
0,181.21,0,0,,08/02/21
0,178.97,0,0,,07/30/21
0,213.52,0,0,,07/29/21
0,214.44,0,0,,07/28/21
0,214.99,0,0,,07/27/21
0,215.16,0,0,,07/26/21
0,216.03,0,0,,07/23/21
0,213.81,0,0,,07/22/21
0,218.37,0,0,,07/21/21
0,219.36,0,0,,07/20/21
0,219.5,0,0,,07/19/21
0,219.77,0,0,,07/16/21
0,218.68,0,0,,07/15/21
0,217.94,0,0,,07/14/21
0,218.26,0,0,,07/13/21
0,217.33,0,0,,07/12/21
0,215.78,0,0,,07/09/21
0,216.32,0,0,,07/08/21
0,218.11,0,0,,07/07/21
0,217.58,0,0,,07/06/21
0,212.46,0,0,,07/02/21
211.8,213.59,211.8,211.8,,07/01/21
0,214.55,0,0,,06/30/21
0,214.36,0,0,,06/29/21
0,215.26,0,0,,06/28/21
0,214.17,0,0,,06/25/21
0,213.75,0,0,,06/24/21
0,213.8,0,0,,06/23/21
0,213.45,0,0,,06/22/21
0,212.75,0,0,,06/21/21
0,214.21,0,0,,06/18/21
0,214.69,0,0,,06/17/21
0,213.53,0,0,,06/16/21
0,213.96,0,0,,06/15/21
0,214.05,0,0,,06/14/21
0,213.13,0,0,,06/11/21
0,211.91,0,0,,06/10/21
0,210.19,0,0,,06/09/21
0,207.84,0,0,,06/08/21
0,202.41,0,0,,06/07/21
0,206.29,0,0,,06/04/21
0,208,0,0,,06/03/21
0,204.96,0,0,,06/02/21
0,204.9,0,0,,06/01/21
0,184.63,0,0,,05/28/21
0,206.37,0,0,,05/27/21
0,206.89,0,0,,05/26/21
0,207.01,0,0,,05/25/21
0,208.2,0,0,,05/24/21
0,209.13,0,0,,05/21/21
0,211.15,0,0,,05/20/21
0,211.96,0,0,,05/19/21
0,213.23,0,0,,05/18/21
0,214.99,0,0,,05/17/21
0,210.08,0,0,,05/14/21
0,212.05,0,0,,05/13/21
0,218.38,0,0,,05/12/21
0,215.29,0,0,,05/11/21
0,215.48,0,0,,05/10/21
0,204.35,0,0,,05/07/21
0,197.68,0,0,,05/06/21
0,190.41,0,0,,05/05/21
0,189.72,0,0,,05/04/21
0,185.04,0,0,,05/03/21
0,184.14,0,0,,04/30/21
0,179.31,0,0,,04/29/21
0,178.8,0,0,,04/28/21
0,178.99,0,0,,04/27/21
0,177.58,0,0,,04/26/21
0,176.96,0,0,,04/23/21
0,176.35,0,0,,04/22/21
0,176.2,0,0,,04/21/21
0,178.54,0,0,,04/20/21
0,174.72,0,0,,04/19/21
0,174.89,0,0,,04/16/21
0,173.01,0,0,,04/15/21
0,171.42,0,0,,04/14/21
0,171.04,0,0,,04/13/21
0,171.03,0,0,,04/12/21
0,170.32,0,0,,04/09/21
0,170.45,0,0,,04/08/21
0,169.24,0,0,,04/07/21
0,166.98,0,0,,04/06/21
0,163.89,0,0,,04/05/21
0,163.68,0,0,,04/02/21
0,163.68,0,0,,04/01/21
0,166.9,0,0,,03/31/21
0,166.99,0,0,,03/30/21
0,166.97,0,0,,03/29/21
0,166.89,0,0,,03/26/21
0,167.05,0,0,,03/25/21
0,167.34,0,0,,03/24/21
0,167.01,0,0,,03/23/21
0,167.37,0,0,,03/22/21
0,168,0,0,,03/19/21
0,168.21,0,0,,03/18/21
0,168.21,0,0,,03/17/21
0,168.26,0,0,,03/16/21
0,168.26,0,0,,03/15/21
0,168.26,0,0,,03/12/21
0,171.28,0,0,,03/11/21
0,168.44,0,0,,03/10/21
0,168.43,0,0,,03/09/21
0,173.56,0,0,,03/08/21
0,173.12,0,0,,03/05/21
0,174.94,0,0,,03/04/21
0,174.12,0,0,,03/03/21
0,173.16,0,0,,03/02/21
0,171.74,0,0,,03/01/21
0,172.71,0,0,,02/26/21
0,165.02,0,0,,02/25/21
0,164.53,0,0,,02/24/21
0,164.16,0,0,,02/23/21
0,163.87,0,0,,02/22/21
0,164.07,0,0,,02/19/21
0,164.59,0,0,,02/18/21
0,161.99,0,0,,02/17/21
0,161,0,0,,02/16/21
0,159.65,0,0,,02/12/21
0,160.08,0,0,,02/11/21
0,159.74,0,0,,02/10/21
0,158.15,0,0,,02/09/21
0,156.1,0,0,,02/08/21
0,153.9,0,0,,02/05/21
0,155.33,0,0,,02/04/21
0,150.81,0,0,,02/03/21
0,148.42,0,0,,02/02/21
0,154.74,0,0,,02/01/21
0,155.2,0,0,,01/29/21
0,168.63,0,0,,01/28/21
0,169.26,0,0,,01/27/21
0,169.52,0,0,,01/26/21
0,169.78,0,0,,01/25/21
0,169.82,0,0,,01/22/21
0,169.98,0,0,,01/21/21
0,169.85,0,0,,01/20/21
0,170.03,0,0,,01/19/21
0,169.97,0,0,,01/15/21
0,169.8,0,0,,01/14/21
0,169.51,0,0,,01/13/21
0,169.33,0,0,,01/12/21
0,168.99,0,0,,01/11/21
0,169.52,0,0,,01/08/21
0,169.31,0,0,,01/07/21
0,166.76,0,0,,01/06/21
0,166.08,0,0,,01/05/21
164.44,163.93,164.44,164.44,,01/04/21
0,158.15,0,0,,12/31/20
0,155.7,0,0,,12/30/20
0,155.57,0,0,,12/29/20
0,155.35,0,0,,12/28/20
0,155.02,0,0,,12/24/20
0,154.5,0,0,,12/23/20
0,154.49,0,0,,12/22/20
0,155.11,0,0,,12/21/20
0,152.49,0,0,,12/18/20
0,151.37,0,0,,12/17/20
0,150.75,0,0,,12/16/20
0,150.31,0,0,,12/15/20
0,149.6,0,0,,12/14/20
0,152.02,0,0,,12/11/20
0,150.7,0,0,,12/10/20
0,146.28,0,0,,12/09/20
0,145.04,0,0,,12/08/20
0,144.34,0,0,,12/07/20
0,141.53,0,0,,12/04/20
0,135.66,0,0,,12/03/20
0,134.56,0,0,,12/02/20
0,130.81,0,0,,12/01/20
0,124.62,0,0,,11/30/20
0,124.25,0,0,,11/27/20
0,123.63,0,0,,11/25/20
0,123.4,0,0,,11/24/20
0,123.18,0,0,,11/23/20
0,123.35,0,0,,11/20/20
0,122.84,0,0,,11/19/20
0,122.29,0,0,,11/18/20
0,122,0,0,,11/17/20
0,121.22,0,0,,11/16/20
0,120.8,0,0,,11/13/20
0,121,0,0,,11/12/20
0,121.59,0,0,,11/11/20
0,120.3,0,0,,11/10/20
0,119.84,0,0,,11/09/20
0,117.63,0,0,,11/06/20
0,116.92,0,0,,11/05/20
0,116.84,0,0,,11/04/20
0,116.47,0,0,,11/03/20
0,117.69,0,0,,11/02/20
0,116.25,0,0,,10/30/20
0,120.28,0,0,,10/29/20
0,120.45,0,0,,10/28/20
0,120.63,0,0,,10/27/20
0,120.75,0,0,,10/26/20
0,121.02,0,0,,10/23/20
0,121.34,0,0,,10/22/20
0,121.56,0,0,,10/21/20
0,121.51,0,0,,10/20/20
0,121.53,0,0,,10/19/20
0,121.44,0,0,,10/16/20
0,121.13,0,0,,10/15/20
0,121.48,0,0,,10/14/20
0,122.43,0,0,,10/13/20
0,123.25,0,0,,10/12/20
0,123.49,0,0,,10/09/20
0,122.46,0,0,,10/08/20
0,121.91,0,0,,10/07/20
0,121.84,0,0,,10/06/20
0,121.03,0,0,,10/05/20
0,120.6,0,0,,10/02/20
0,121.43,0,0,,10/01/20
0,123.98,0,0,,09/30/20
0,124.02,0,0,,09/29/20
0,124.21,0,0,,09/28/20
0,123.81,0,0,,09/25/20
0,123.97,0,0,,09/24/20
0,124.79,0,0,,09/23/20
0,125.73,0,0,,09/22/20
0,126.01,0,0,,09/21/20
0,127.09,0,0,,09/18/20
0,126.59,0,0,,09/17/20
0,126.01,0,0,,09/16/20
0,128.01,0,0,,09/15/20
0,128.86,0,0,,09/14/20
0,127.43,0,0,,09/11/20
0,126.77,0,0,,09/10/20
0,126.78,0,0,,09/09/20
0,128.03,0,0,,09/08/20
0,127.53,0,0,,09/04/20
0,128.38,0,0,,09/03/20
0,126.06,0,0,,09/02/20
0,123.68,0,0,,09/01/20
0,122.53,0,0,,08/31/20
