Open,Close,High,Low,Volume,Date
4.103,4.195,4.229,4.04,,02/14/22
3.944,3.941,4.056,3.876,,02/11/22
4.035,3.959,4.068,3.882,,02/10/22
4.211,4.009,4.259,3.983,,02/09/22
4.276,4.248,4.381,4.173,,02/08/22
4.384,4.232,4.468,4.12,,02/07/22
4.929,4.572,5.087,4.487,,02/04/22
5.42,4.888,5.454,4.816,,02/03/22
4.893,5.501,5.572,4.857,,02/02/22
4.921,4.751,4.974,4.62,,02/01/22
4.867,4.874,5.057,4.695,,01/31/22
0,4.639,4.876,0,,01/28/22
4.23,6.265,7.346,4.23,,01/27/22
4.04,4.277,4.39,4.011,,01/26/22
3.959,4.053,4.079,3.889,,01/25/22
3.915,4.027,4.068,3.876,,01/24/22
3.838,3.999,4.044,3.833,,01/21/22
4.015,3.802,4.037,3.781,,01/20/22
4.327,4.031,4.385,4.01,,01/19/22
4.356,4.283,4.39,4.216,,01/18/22
4.263,4.262,4.305,4.097,,01/14/22
4.791,4.27,4.844,4.245,,01/13/22
4.225,4.857,4.879,4.186,,01/12/22
4.119,4.249,4.261,4.007,,01/11/22
4.144,4.079,4.213,3.977,,01/10/22
3.86,3.916,3.98,3.8,,01/07/22
3.842,3.812,3.931,3.801,,01/06/22
3.747,3.882,3.897,3.717,,01/05/22
3.817,3.717,3.944,3.709,,01/04/22
3.702,3.815,3.858,3.638,,01/03/22
3.589,3.73,3.794,3.572,,12/31/21
0,3.561,3.966,3.536,,12/30/21
4.08,4.024,4.261,3.905,,12/29/21
4.065,4.055,4.154,3.955,,12/28/21
3.958,4.06,4.087,3.767,,12/27/21
3.97,3.731,4.006,3.599,,12/23/21
3.87,3.976,4.041,3.816,,12/22/21
3.84,3.869,3.947,3.719,,12/21/21
3.645,3.834,3.924,3.642,,12/20/21
3.783,3.69,3.814,3.617,,12/17/21
3.814,3.766,3.976,3.729,,12/16/21
3.785,3.802,3.926,3.766,,12/15/21
3.802,3.747,3.84,3.686,,12/14/21
3.975,3.794,4.085,3.77,,12/13/21
3.798,3.925,3.965,3.76,,12/10/21
3.818,3.814,3.924,3.725,,12/09/21
3.734,3.815,3.931,3.723,,12/08/21
3.68,3.708,3.829,3.657,,12/07/21
3.826,3.657,3.886,3.63,,12/06/21
4.105,4.132,4.285,4.066,,12/03/21
4.265,4.056,4.335,4.042,,12/02/21
4.606,4.258,4.664,4.22,,12/01/21
4.873,4.567,4.9,4.482,,11/30/21
5.199,4.854,5.2,4.818,,11/29/21
5.025,5.477,5.562,4.983,,11/26/21
4.992,5.068,5.15,4.88,,11/24/21
4.796,4.967,5.082,4.757,,11/23/21
4.91,4.789,4.957,4.648,,11/22/21
4.895,5.065,5.156,4.838,,11/19/21
4.896,4.902,5.032,4.83,,11/18/21
5.159,4.816,5.165,4.8,,11/17/21
5.058,5.177,5.394,5.024,,11/16/21
4.903,5.017,5.065,4.713,,11/15/21
5.129,4.791,5.141,4.752,,11/12/21
4.917,5.149,5.176,4.889,,11/11/21
