Open,Close,High,Low,Volume,Date
0,23529,23650,23529,,02/14/22
0,23701.5,23725,23701.5,,02/11/22
0,24054,24054,24050,,02/10/22
0,23544,23550,23544,,02/09/22
0,23538.5,23538.5,23525,,02/08/22
0,23638.5,23650,23599,,02/07/22
0,23461.5,23475,23424,,02/04/22
0,23213.5,23213.5,23123.5,,02/03/22
0,23388.5,23388.5,23375,,02/02/22
0,23299,23300,23295,,02/01/22
0,22796.5,22800,22796.5,,01/31/22
0,22738.5,22750,22736.5,,01/28/22
0,22860,22860,22850,,01/27/22
0,23413.5,23425,23399,,01/26/22
0,22526,22535,22524,,01/25/22
0,23500,23500,23349,,01/24/22
0,23988.5,24095,23986.5,,01/21/22
0,23900,23900,23895,,01/20/22
0,22795,22795,22791.5,,01/19/22
0,22738.5,22740,22700,,01/18/22
0,22461.5,22475,22420,,01/17/22
0,22845,22850,22800,,01/14/22
0,22130,22130,22126.5,,01/13/22
0,21042.5,21045,21041.5,,01/10/22
0,20713.5,20713.5,20700,,01/07/22
0,20475,20476,20470,,01/06/22
0,20894,20900,20894,,01/05/22
0,20725,20730,20724,,01/04/22
0,20912.5,20925,20911.5,,12/31/21
0,20697,20697,20694,,12/30/21
0,20317.5,20320,20316.5,,12/29/21
0,20293.5,20295,20180,,12/24/21
0,20177.5,20179,20175,,12/23/21
0,19983.5,19990,19981.5,,12/22/21
0,19748.5,19750,19720,,12/21/21
0,19370,19370,19360,,12/20/21
0,19825,19834.5,19825,,12/17/21
0,19583.5,19586,19581.5,,12/16/21
0,19328.5,19330,19325,,12/15/21
0,19741,19741,19739,,12/14/21
0,19899,19905,19899,,12/13/21
0,19956,19956,19950,,12/10/21
0,19951,19951,19949,,12/09/21
0,20424,20450,20424,,12/08/21
0,20303.5,20305,20248,,12/07/21
0,19980,19980,19975,,12/06/21
0,20285,20290,20280,,12/03/21
0,20186.5,20190,20150,,12/02/21
0,20405,20410,20400,,12/01/21
0,20185,20231,20180,,11/30/21
0,20338.5,20349,20336.5,,11/29/21
0,20233.5,20235,20230,,11/26/21
0,21063.5,21075,21061.5,,11/25/21
0,21130,21136,21125,,11/24/21
0,20590,20591,20579,,11/23/21
0,20269,20271,20264,,11/22/21
0,19980,19981,19970,,11/19/21
0,19293.5,19296,19291.5,,11/18/21
0,19573.5,19575,19570,,11/17/21
0,19661.5,19676,19661.5,,11/16/21
0,19949,19951,19925,,11/15/21
0,19951,19951,19920,,11/12/21
0,19848.5,19851,19846.5,,11/11/21
0,19633.5,19636,19631.5,,11/10/21
0,19716,19721,19714,,11/09/21
0,19611.5,19626,19611.5,,11/08/21
0,19261,19271,19250,,11/05/21
0,19580,19591,19579,,11/04/21
0,19780,19781,19776.5,,11/03/21
0,19823.5,19826,19820.5,,11/02/21
0,19644,19651,19644,,11/01/21
0,19480,19481,19475,,10/29/21
0,19823.5,19826,19820,,10/28/21
0,19849,19851,19800,,10/27/21
0,20495,20501,20489,,10/26/21
0,20134,20136,20130,,10/25/21
0,20355,20433.5,20341.5,,10/22/21
0,20526,20531,20524,,10/21/21
0,20031,20455,20029,,10/20/21
0,20451.5,20456,20215.5,,10/19/21
0,20215,20220,20210,,10/18/21
0,19859,19881,19854,,10/15/21
0,19287.5,19291,19236,,10/14/21
0,19233.5,19375,19220,,10/13/21
