Open,Close,High,Low,Volume,Date
1029.5,1031,1044,1023.5,,02/14/22
1033.5,1034,1034,1033.5,,02/13/22
1028,1033.5,1038.5,1013.5,,02/11/22
1036,1027,1059,1019.5,,02/10/22
1035.5,1036.5,1044.5,1025.5,,02/09/22
1025,1036,1039,1008.5,,02/08/22
1028.5,1024.5,1034,1014,,02/07/22
1026.5,1026.5,1026.5,1026.5,,02/06/22
1037,1026.5,1040.5,1017,,02/04/22
1036,1036,1042,1023,,02/03/22
1029,1037,1048.5,1026.5,,02/02/22
1023,1031.5,1048.5,1021,,02/01/22
1012.5,1023,1026.5,1010.5,,01/31/22
1015.5,1012,1015.5,1011.5,,01/30/22
1028,1015.5,1034,995,,01/28/22
1035.5,1027,1039.5,1016,,01/27/22
1029,1033,1065,1028,,01/26/22
1033,1030,1037.5,1011,,01/25/22
1030.5,1032.5,1043.5,1007.5,,01/24/22
1033,1038,1038,1033,,01/23/22
1033,1033,1033,1033,,01/22/22
1044,1033,1054.5,1030.5,,01/21/22
1026.5,1042,1057,1019.5,,01/20/22
986.5,1027,1037,976.5,,01/19/22
976,986,992.5,967.5,,01/18/22
973,976.5,981,969,,01/17/22
973.5,973.5,973.5,973.5,,01/16/22
973.5,973.5,987.5,970.5,,01/14/22
982.5,974,984,967.5,,01/13/22
974.5,982,988.5,968,,01/12/22
946.5,975.5,981,942.5,,01/11/22
959.5,944,967,927.5,,01/10/22
962,962,962,962,,01/09/22
967.5,962,976,952,,01/07/22
984,968,989.5,956.5,,01/06/22
976.5,986,1006.5,970,,01/05/22
959.5,975.5,987.5,952,,01/04/22
973,960,984.5,933,,01/03/22
970,970,970,970,,01/02/22
966.5,960.5,970,953.5,,12/31/21
972,965.5,976,961.5,,12/30/21
978,972.5,980,962.5,,12/29/21
975.5,982.5,991.5,970,,12/28/21
969,974,979,956.5,,12/27/21
973,974,974,973,,12/26/21
974,973,979,959.5,,12/23/21
937,975.5,977.5,932,,12/22/21
938.5,937.5,948,931.5,,12/21/21
939.5,937,939.5,921,,12/20/21
940,942.5,942.5,940,,12/19/21
940,940,940,940,,12/18/21
941,940,953,936.5,,12/17/21
921.5,941.5,942.5,919.5,,12/16/21
925.5,921,927,897.5,,12/15/21
933,925.5,937,912.5,,12/14/21
954,933.5,958.5,931,,12/13/21
946.5,946.5,946.5,946.5,,12/12/21
946.5,946.5,946.5,946.5,,12/11/21
940,946.5,950,934.5,,12/10/21
960.5,939.5,962,937.5,,12/09/21
957,959.5,969.5,950,,12/08/21
942.5,956.5,966,939,,12/07/21
938,941.5,946.5,925,,12/06/21
935.5,935.5,935.5,935,,12/05/21
935.5,935.5,935.5,935.5,,12/04/21
943,935.5,957,926,,12/03/21
937.5,941,954.5,935,,12/02/21
944,937,962,933.5,,12/01/21
967.5,941,974,932,,11/30/21
978,966.5,983.5,965.5,,11/29/21
955.5,955.5,955.5,955.5,,11/28/21
988,955.5,997,952.5,,11/26/21
979.5,1000,1003,979.5,,11/25/21
974,977.5,987.5,969.5,,11/24/21
1017.5,971.5,1024,960,,11/23/21
1031,1014.5,1043.5,1014,,11/22/21
1033.5,1034,1034,1033.5,,11/21/21
1033.5,1033.5,1033.5,1033.5,,11/20/21
1050.5,1033.5,1062.5,1031.5,,11/19/21
1060.5,1049.5,1076.5,1045.5,,11/18/21
1063,1062.5,1076.5,1056.5,,11/17/21
1090.5,1065.5,1106.5,1063.5,,11/16/21
1078.5,1090.5,1097.5,1075,,11/15/21
1085.5,1085.5,1085.5,1085.5,,11/14/21
1088.5,1085.5,1092.5,1069.5,,11/12/21
1070.5,1088,1095,1067.5,,11/11/21
1062.5,1071.5,1095,1053.5,,11/10/21
1058.5,1063,1066,1046.5,,11/09/21
1036.5,1058.5,1066,1034.5,,11/08/21
1037,1037.5,1037.5,1037,,11/07/21
1037,1037,1037,1037,,11/06/21
1030,1037,1043,1026,,11/05/21
1036.5,1029.5,1051.5,1027,,11/04/21
1041.5,1036.5,1050.5,1024,,11/03/21
1065,1041,1066,1041,,11/02/21
1022,1065.5,1069,1021,,11/01/21
1023.5,1021,1024,1021,,10/31/21
1023.5,1023.5,1023.5,1023.5,,10/30/21
1022,1023.5,1027,1007.5,,10/29/21
1012.5,1022,1035,1011,,10/28/21
1031,1013,1034,1012,,10/27/21
1063.5,1032,1063.5,1027,,10/26/21
1043,1063,1066,1041,,10/25/21
1043,1044,1044,1043,,10/24/21
1043,1043,1043,1043,,10/23/21
1052.5,1043,1079,1042.5,,10/22/21
1054,1052.5,1066,1038,,10/21/21
1042.5,1053,1057.5,1036.5,,10/20/21
1040,1043,1060,1037.5,,10/19/21
1052,1039,1054.5,1036.5,,10/18/21
1060,1060,1060,1060,,10/17/21
1062.5,1060,1064,1045,,10/15/21
1022.5,1060,1064.5,1018,,10/14/21
1013.5,1024,1036,1007,,10/13/21
1011.5,1012.5,1025,1007,,10/12/21
1040.5,1011.5,1042,1011,,10/11/21
1029.5,1029.5,1029.5,1029.5,,10/10/21
985.5,1029.5,1042,982,,10/08/21
993,984.5,1000,980.5,,10/07/21
966,991,994.5,945.5,,10/06/21
970,965.5,970.5,950.5,,10/05/21
