Open,Close,High,Low,Volume,Date
0,43975,44000,43949,,02/14/22
0,44190,44195,44189,,02/11/22
0,44442.5,44450,44442.5,,02/10/22
0,43386.5,43400,43350,,02/09/22
0,43362.5,43363.5,43361.5,,02/08/22
0,43226,43250,43200,,02/07/22
0,43362.5,43375,43361.5,,02/04/22
0,43171,43601,43171,,02/03/22
0,43750,43750,43747.5,,02/02/22
0,43181,43596,43181,,02/01/22
0,43140,43140,42499,,01/31/22
0,42450,42450,42400,,01/28/22
0,42400,43145,42400,,01/27/22
0,42797.5,42850,42750,,01/26/22
0,41675,41700,41674,,01/25/22
0,43349,43351,43349,,01/24/22
0,43849,43851,43849,,01/21/22
0,44193.5,44195,44191.5,,01/20/22
0,43026,43026,43000,,01/19/22
0,42475,42500,42474,,01/18/22
0,41475,41500,41450,,01/17/22
0,40825,40850,40824,,01/14/22
0,41755,41846,41755,,01/13/22
0,40411.5,40425,40411.5,,01/10/22
0,40626,40626,40600,,01/07/22
0,39637.5,39638.5,39625,,01/06/22
0,39700,39851,39650,,01/05/22
0,39397.5,39398.5,39396.5,,01/04/22
0,39637,39637,39624,,12/31/21
0,39900,39927,39899,,12/30/21
0,39725,39726,39724,,12/29/21
0,39826,39850,39800,,12/24/21
0,39685,39690,39684,,12/23/21
0,39399,39401,39399,,12/22/21
0,39051,39051,39049,,12/21/21
0,38699,38701,38699,,12/20/21
0,39525,39550,39524,,12/17/21
0,39024,39026,38999,,12/16/21
0,38426,38700,38426,,12/15/21
0,39101,39101,39099,,12/14/21
0,38993,39551,38993,,12/13/21
0,40147.5,40150,40100,,12/10/21
0,40101,40101,40099,,12/09/21
0,39697.5,39700,39696.5,,12/08/21
0,39898.5,39900,39896.5,,12/07/21
0,39398.5,39400,39396.5,,12/06/21
0,40187.5,40189.5,40186.5,,12/03/21
0,39500,39500,39474,,12/02/21
0,39927,39927,39049,,12/01/21
0,39904,40452,39904,,11/30/21
0,40028,40450,40028,,11/29/21
0,40250,40251,40150,,11/26/21
0,40950,40951,40949,,11/25/21
0,40237.5,40250,40236.5,,11/24/21
0,40175,40200,40175,,11/23/21
0,39774,39801,39774,,11/22/21
0,39725,39751,39700,,11/19/21
0,39687.5,39800,39687.5,,11/18/21
0,39051,39101,39049,,11/17/21
0,38898.5,38901,38800,,11/16/21
0,38814.67,38951,38813.67,,11/15/21
0,39224,39295,39224,,11/12/21
0,39124,39150,39124,,11/11/21
0,38726,38751,38724,,11/10/21
0,38576,38599,38550,,11/09/21
0,38796,38801,38790,,11/08/21
0,38375,38401,38300,,11/05/21
0,38250,38299,38249,,11/04/21
0,38451,38499,38449,,11/03/21
0,38374,38401,38000,,11/02/21
0,38500,38551,38499,,11/01/21
0,39037,39039,38700,,10/29/21
0,37625,37651,36780.25,,10/28/21
0,38725,38751,38725,,10/27/21
0,39036.5,39175,39036.5,,10/26/21
0,39275,39301,39250,,10/25/21
0,38847.5,38851,38847.5,,10/22/21
0,38650,38951,38650,,10/21/21
0,38876,38899,38874,,10/20/21
0,39624,39649,39600,,10/19/21
0,39575,39601,39550,,10/18/21
0,38925,38951,38599,,10/15/21
0,37873,37901,37800,,10/14/21
0,37799,37801,37750,,10/13/21
0,37753.5,37756,36549,,10/12/21
0,37650,37701,37649,,10/11/21
0,36900,36924,36899,,10/08/21
0,36202.5,36250,36201.5,,10/07/21
0,36751,36751,36724,,10/06/21
0,36398.5,36401,36396.5,,10/05/21
0,35641,35799,35641,,10/04/21
0,35575,35601,35550,,10/01/21
0,36575,36599,36550,,09/30/21
0,37589,37601,37589,,09/29/21
0,36796.5,36801,36796.5,,09/28/21
