Open,Close,High,Low,Volume,Date
0,3631,3631,3630,,02/14/22
0,3672.65,3672.85,3672,,02/11/22
0,3737.5,3738.25,3737.25,,02/10/22
0,3633.35,3633.5,3633,,02/09/22
0,3593.5,3653.25,3593.5,,02/08/22
0,3622.65,3623,3622.35,,02/07/22
0,3634,3635,3633.85,,02/04/22
0,3617.65,3618,3617.35,,02/03/22
0,3649,3650,3648,,02/02/22
0,3634.85,3635,3634.5,,02/01/22
0,3674.5,3675,3674.25,,01/31/22
0,3644,3644,3642,,01/28/22
0,3648.5,3648.85,3648,,01/27/22
0,3644.65,3645,3644,,01/26/22
0,3615,3615,3614.25,,01/25/22
0,3641,3641.15,3640,,01/24/22
0,3685.25,3686,3684.85,,01/21/22
0,3673.65,3674,3673.35,,01/20/22
0,3601.6,3602,3600,,01/19/22
0,3543,3543.15,3542.75,,01/18/22
0,3534,3534.15,3530,,01/17/22
0,3559,3559.15,3558.85,,01/14/22
0,3574,3574.15,3573.85,,01/13/22
0,3576.1,3576.5,3575,,01/10/22
0,3560.3,3602.35,3560.3,,01/07/22
0,3589.65,3589.85,3589,,01/06/22
0,3623.75,3660,3623.75,,01/05/22
0,3600.85,3630.7,3600.5,,01/04/22
0,3629.55,3630,3620,,12/31/21
0,3600.5,3600.85,3585,,12/30/21
0,3549.65,3549.85,3549.35,,12/29/21
0,3579.85,3580.85,3579.85,,12/24/21
0,3568.75,3569,3568.6,,12/23/21
0,3571.25,3571.25,3543.85,,12/22/21
0,3444.75,3445,3444.6,,12/21/21
0,3400.25,3431,3400,,12/20/21
0,3430,3430,3428.85,,12/17/21
0,3394.35,3395,3394.35,,12/16/21
0,3269.25,3269.25,3268,,12/15/21
0,3341.15,3342,3340.85,,12/14/21
0,3363.85,3365.15,3363.25,,12/13/21
0,3331.5,3332,3330,,12/10/21
0,3349.85,3351.15,3349.85,,12/09/21
0,3333.5,3335,3333.25,,12/08/21
0,3287.2,3287.35,3284.85,,12/07/21
0,3224.25,3224.5,3224,,12/06/21
0,3323.75,3324,3309.5,,12/03/21
0,3293.75,3295,3293.6,,12/02/21
0,3295.65,3295.85,3285,,12/01/21
0,3288.5,3348.65,3288.5,,11/30/21
0,3324,3325.15,3323.85,,11/29/21
0,3330.65,3331.15,3330,,11/26/21
0,3431.15,3432.15,3430.85,,11/25/21
0,3429.1,3429.65,3429,,11/24/21
0,3374.85,3422.15,3374.85,,11/23/21
0,3276,3277.15,3275,,11/22/21
0,3215,3215.15,3214,,11/19/21
0,3201.15,3202.15,3200,,11/18/21
0,3214.9,3250.15,3214.9,,11/17/21
0,3212,3214,3211.8,,11/16/21
0,3265.7,3266.15,3265,,11/15/21
0,3269.15,3270.15,3268.85,,11/12/21
0,3314.75,3315.15,3314.5,,11/11/21
0,3305,3305.15,3303.85,,11/10/21
0,3337.75,3339,3335,,11/09/21
0,3274.15,3274.65,3273.85,,11/08/21
0,3229.65,3229.65,3228,,11/05/21
0,3341.5,3342.15,3340,,11/04/21
0,3371,3373,3369.15,,11/03/21
0,3394.4,3394.65,3390,,11/02/21
0,3429,3430.15,3428.85,,11/01/21
0,3455.35,3455.65,3420,,10/29/21
0,3414.9,3415.15,3414.6,,10/28/21
0,3385.15,3385.65,3384.85,,10/27/21
0,3454.85,3456.15,3454,,10/26/21
0,3510.4,3510.65,3509.85,,10/25/21
0,3494.25,3495.15,3493.8,,10/22/21
0,3583.85,3585.15,3583.75,,10/21/21
0,3583.25,3584.15,3583.25,,10/20/21
0,3706.5,3710,3705,,10/19/21
0,3728.75,3815.15,3728.75,,10/18/21
0,3795,3795.15,3552,,10/15/21
0,3551.25,3552.15,3410.4,,10/14/21
0,3409,3410.15,3248.6,,10/13/21
0,3247.65,3249.15,3198.5,,10/12/21
0,3197.75,3198.15,3098.55,,10/11/21
0,3135,3135,3077.25,,10/08/21
0,3025,3025.15,3017.2,,10/07/21
0,3015,3015.15,3011.5,,10/06/21
0,3011.25,3011.65,2999,,10/05/21
0,3012,3013.15,2999,,10/04/21
0,2999,3015,2998.5,,10/01/21
0,3015,3015.15,3014.5,,09/30/21
0,3047.25,3048,3047.25,,09/29/21
0,3070.55,3071.15,3070.5,,09/28/21
0,3092.15,3093.15,3091.85,,09/27/21
0,3109.75,3110.15,3109.6,,09/24/21
0,3043.15,3044.15,3043,,09/23/21
0,3018.85,3019,3018,,09/22/21
0,3002.9,3003.5,3002.75,,09/21/21
0,3017.65,3018.15,3017.35,,09/20/21
0,3109.5,3110.15,3109.25,,09/17/21
0,3064.15,3064.15,3037,,09/16/21
0,3051.15,3052.15,3050.75,,09/15/21
0,3034.85,3034.85,3009.85,,09/14/21
0,3072.35,3075,3071.75,,09/13/21
0,3089,3089.15,3087.75,,09/10/21
0,3072,3073,3071.5,,09/09/21
0,3052.15,3052.15,3051.25,,09/08/21
0,3019,3020.15,3017,,09/07/21
0,3008.15,3008.2,3007.5,,09/06/21
0,2984.35,2984.65,2982.83,,09/03/21
0,2987.5,2987.65,2987.25,,09/02/21
0,2977.65,2977.65,2977.35,,09/01/21
0,2997.5,2997.7,2997.35,,08/31/21
0,2983.35,2983.65,2983.3,,08/27/21
0,2992.1,2992.1,2989.85,,08/26/21
0,3031.75,3032.2,3031.75,,08/25/21
0,2965,2965.2,2964.75,,08/24/21
0,2942,2942.2,2941.8,,08/23/21
0,2948.65,2948.65,2948.35,,08/20/21
0,2939.65,2939.65,2939.35,,08/19/21
0,2998,2998.2,2997.75,,08/18/21
0,3002.5,3002.7,3002.3,,08/17/21
0,3024.1,3024.1,3011.75,,08/16/21
0,3007,3007.2,3006.75,,08/13/21
0,3016.5,3016.7,3016.25,,08/12/21
0,3018.5,3018.7,3018.25,,08/11/21
0,2978.5,2978.7,2978.25,,08/10/21
